match_id,start_x,start_y,end_x,end_y,height,angle,duration,outcome
8658,93.0,75.0,81.0,78.0,Ground Pass,2.896614,1.893,
8658,81.0,78.0,71.0,69.0,Ground Pass,-2.4087775,0.933,
8658,72.0,68.0,63.0,35.0,Ground Pass,-1.8370484,1.563,
8658,62.0,32.0,68.0,10.0,Ground Pass,-1.3045443,1.533,
8658,67.0,8.0,83.0,2.0,Ground Pass,-0.35877067,1.293,
8658,82.0,8.0,68.0,9.0,Ground Pass,3.070285,1.733,
8658,67.0,5.0,65.0,22.0,Ground Pass,1.6879051,1.08,
8658,66.0,28.0,66.0,57.0,Low Pass,1.5707964,1.253,
8658,66.0,65.0,76.0,74.0,Ground Pass,0.7328151,1.373,
8658,76.0,72.0,85.0,79.0,Ground Pass,0.66104317,0.746,
8658,85.0,79.0,93.0,72.0,Ground Pass,-0.71883,1.053,Incomplete
8658,100.0,79.0,95.0,75.0,High Pass,-2.4668517,0.96,
8658,96.0,73.0,99.0,80.0,Ground Pass,1.1659045,0.853,
8658,79.0,64.0,77.0,58.0,Ground Pass,-1.8925469,0.693,
8658,28.0,49.0,77.0,55.0,Low Pass,0.12184244,4.293,Incomplete
8658,44.0,26.0,10.0,35.0,Ground Pass,2.8828218,3.4,
8658,8.0,48.0,28.0,62.0,Ground Pass,0.61072594,1.893,
8658,29.0,60.0,51.0,64.0,Ground Pass,0.1798535,2.759,
8658,51.0,64.0,55.0,51.0,Ground Pass,-1.2722974,1.12,
8658,52.0,62.0,53.0,78.0,Ground Pass,1.5083776,1.373,
8658,54.0,80.0,46.0,67.0,Ground Pass,-2.1224513,0.88,
8658,48.0,71.0,82.0,78.0,High Pass,0.20304522,1.602,Unknown
8658,81.0,74.0,115.0,35.0,High Pass,-0.8537845,2.2,
8658,120.0,2.0,114.0,37.0,High Pass,1.7405746,1.48,Incomplete
8658,120.0,1.0,115.0,41.0,High Pass,1.6951513,1.44,
8658,60.0,35.0,101.0,1.0,High Pass,-0.6923344,2.96,
8658,101.0,1.0,100.0,19.0,High Pass,1.6262949,1.333,
8658,119.0,2.0,116.0,41.0,High Pass,1.6475682,1.52,
8658,7.0,45.0,68.0,46.0,High Pass,0.016391974,3.48,Incomplete
8658,54.0,34.0,63.0,50.0,High Pass,1.0584068,1.533,
8658,63.0,43.0,79.0,43.0,Ground Pass,0.0,1.76,Incomplete
8658,42.0,38.0,56.0,29.0,Ground Pass,-0.57133746,1.08,
8658,52.0,29.0,48.0,32.0,Ground Pass,2.4980915,0.413,
8658,48.0,32.0,38.0,34.0,Ground Pass,2.9441972,0.8,
8658,38.0,34.0,65.0,51.0,High Pass,0.56192154,3.12,
8658,47.0,31.0,49.0,26.0,Ground Pass,-1.19029,1.72,
8658,49.0,25.0,82.0,56.0,High Pass,0.7541583,2.24,
